paths,bit_rate
"['E->F', 'B->D', 'D->F', 'F->C', 'F->C', 'B->E', 'D->A', 'F->D', 'C->D', 'A->B', 'A->B', 'A->C', 'A->E', 'B->F', 'B->A', 'F->A', 'D->C', 'B->E', 'D->B', 'C->A', 'F->E', 'C->F', 'C->A', 'F->D', 'C->B', 'C->B', 'D->F', 'C->F', 'B->D', 'C->D', 'B->F', 'E->C', 'E->B', 'D->B', 'A->E', 'F->A', 'C->E', 'D->A', 'F->B', 'A->C', 'B->C', 'E->F', 'F->B', 'B->C', 'E->A', 'F->E', 'C->E', 'E->C', 'D->E', 'A->F', 'A->D', 'A->F', 'A->F', 'D->C', 'B->A', 'E->D', 'F->A', 'A->D', 'E->B', 'D->E', 'E->A', 'D->E']","[516256987734.6017, 601662758571.9274, 554350395923.5321, 632314607341.7688, 632314607341.7688, 554350395923.5321, 574814373634.4835, 554350395923.5321, 561395242431.8585, 500915442255.6814, 500915442255.6814, 554350395923.5321, 533818001543.9935, 554350395923.5321, 500915442255.6814, 463931581573.68854, 620608016593.3191, 554350395923.5321, 601662758571.9274, 554350395923.5321, 516256987734.6017, 583252673370.8372, 554350395923.5321, 554350395923.5321, 533818001543.9935, 533818001543.9935, 554350395923.5321, 583252673370.8372, 601662758571.9274, 561395242431.8585, 554350395923.5321, 652177412438.7471, 554350395923.5321, 601662758571.9274, 533818001543.9935, 463931581573.68854, 652177412438.7471, 574814373634.4835, 554350395923.5321, 554350395923.5321, 533818001543.9935, 516256987734.6017, 554350395923.5321, 533818001543.9935, 533818001543.9935, 516256987734.6017, 652177412438.7471, 652177412438.7471, 487295844744.0436, 463931581573.68854, 561182505522.422, 463931581573.68854, 463931581573.68854, 620608016593.3191, 500915442255.6814, 487295844744.0436, 463931581573.68854, 561182505522.422, 554350395923.5321, 487295844744.0436, 533818001543.9935, 580864067191.3693]"
"['E->B', 'D->B', 'D->A', 'A->C', 'C->B', 'E->F', 'C->E', 'C->A', 'B->E', 'F->A', 'F->C', 'B->D', 'D->B', 'D->A', 'F->E', 'C->F', 'E->B', 'F->C', 'E->A', 'A->C', 'E->F', 'C->A', 'A->F', 'E->D', 'E->C', 'A->D', 'B->A', 'C->F', 'B->F', 'A->E', 'F->E', 'D->C', 'B->E', 'B->D', 'C->B', 'A->F', 'F->A', 'C->D', 'A->E', 'F->A', 'D->F', 'C->D', 'D->F', 'E->D', 'E->C', 'D->E', 'E->D', 'D->C', 'A->F', 'F->D', 'B->F', 'D->E', 'B->C', 'B->A', 'C->E', 'A->B', 'E->A', 'F->D', 'A->B', 'A->D', 'D->E', 'B->C']","[554350395923.5321, 601662758571.9274, 574814373634.4835, 554350395923.5321, 533818001543.9935, 516256987734.6017, 652177412438.7471, 554350395923.5321, 554350395923.5321, 463931581573.68854, 632314607341.7688, 601662758571.9274, 601662758571.9274, 574814373634.4835, 516256987734.6017, 583252673370.8372, 554350395923.5321, 632314607341.7688, 533818001543.9935, 554350395923.5321, 516256987734.6017, 554350395923.5321, 463931581573.68854, 487295844744.0436, 652177412438.7471, 561182505522.422, 500915442255.6814, 583252673370.8372, 554350395923.5321, 533818001543.9935, 516256987734.6017, 620608016593.3191, 554350395923.5321, 601662758571.9274, 533818001543.9935, 463931581573.68854, 463931581573.68854, 561395242431.8585, 533818001543.9935, 463931581573.68854, 554350395923.5321, 561395242431.8585, 554350395923.5321, 487295844744.0436, 652177412438.7471, 487295844744.0436, 487295844744.0436, 620608016593.3191, 463931581573.68854, 554350395923.5321, 554350395923.5321, 487295844744.0436, 533818001543.9935, 500915442255.6814, 652177412438.7471, 500915442255.6814, 533818001543.9935, 554350395923.5321, 500915442255.6814, 576000054230.9487, 580864067191.3693, 533818001543.9935]"
"['B->E', 'D->E', 'A->D', 'D->F', 'E->B', 'B->E', 'A->C', 'E->D', 'D->F', 'A->B', 'A->E', 'A->E', 'E->D', 'C->B', 'B->C', 'D->C', 'D->A', 'B->C', 'F->A', 'A->F', 'D->E', 'B->A', 'E->C', 'F->C', 'E->C', 'E->A', 'A->D', 'C->E', 'F->D', 'A->B', 'D->E', 'D->B', 'F->C', 'E->D', 'D->B', 'D->A', 'E->F', 'A->C', 'C->D', 'E->A', 'E->B', 'F->D', 'F->B', 'F->E', 'B->F', 'B->F', 'F->A', 'C->D', 'B->A', 'D->C', 'E->F', 'F->E', 'F->B', 'C->A', 'B->D', 'C->E', 'C->F', 'C->F', 'C->B', 'B->D', 'C->A', 'F->A']","[554350395923.5321, 487295844744.0436, 561182505522.422, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 487295844744.0436, 554350395923.5321, 500915442255.6814, 533818001543.9935, 533818001543.9935, 487295844744.0436, 533818001543.9935, 533818001543.9935, 620608016593.3191, 574814373634.4835, 533818001543.9935, 463931581573.68854, 463931581573.68854, 487295844744.0436, 500915442255.6814, 652177412438.7471, 632314607341.7688, 652177412438.7471, 533818001543.9935, 561182505522.422, 652177412438.7471, 554350395923.5321, 500915442255.6814, 487295844744.0436, 601662758571.9274, 632314607341.7688, 487295844744.0436, 601662758571.9274, 574814373634.4835, 516256987734.6017, 554350395923.5321, 561395242431.8585, 533818001543.9935, 554350395923.5321, 554350395923.5321, 554350395923.5321, 516256987734.6017, 554350395923.5321, 554350395923.5321, 463931581573.68854, 496524133222.7556, 500915442255.6814, 420447049894.284, 516256987734.6017, 516256987734.6017, 554350395923.5321, 554350395923.5321, 601662758571.9274, 652177412438.7471, 583252673370.8372, 583252673370.8372, 533818001543.9935, 601662758571.9274, 554350395923.5321, 463931581573.68854]"
"['D->B', 'F->A', 'F->E', 'C->D', 'D->F', 'A->C', 'C->D', 'D->B', 'D->C', 'D->E', 'E->A', 'B->C', 'E->B', 'C->E', 'A->D', 'A->E', 'E->F', 'C->E', 'D->F', 'F->A', 'A->F', 'A->D', 'D->A', 'E->C', 'C->F', 'F->C', 'F->A', 'B->E', 'E->A', 'A->C', 'E->F', 'D->A', 'E->C', 'F->C', 'E->B', 'D->E', 'A->F', 'A->B', 'B->E', 'E->D', 'C->A', 'B->F', 'C->B', 'B->F', 'B->A', 'C->F', 'A->B', 'F->D', 'F->D', 'C->B', 'B->C', 'F->E', 'B->D', 'B->A', 'A->E', 'B->D', 'E->D', 'D->E', 'F->B', 'F->B', 'C->A', 'D->C', 'E->D']","[601662758571.9274, 463931581573.68854, 516256987734.6017, 561395242431.8585, 554350395923.5321, 554350395923.5321, 561395242431.8585, 601662758571.9274, 620608016593.3191, 487295844744.0436, 533818001543.9935, 533818001543.9935, 554350395923.5321, 652177412438.7471, 561182505522.422, 533818001543.9935, 516256987734.6017, 652177412438.7471, 554350395923.5321, 463931581573.68854, 463931581573.68854, 561182505522.422, 574814373634.4835, 652177412438.7471, 583252673370.8372, 632314607341.7688, 463931581573.68854, 554350395923.5321, 533818001543.9935, 554350395923.5321, 516256987734.6017, 574814373634.4835, 652177412438.7471, 632314607341.7688, 554350395923.5321, 487295844744.0436, 463931581573.68854, 500915442255.6814, 554350395923.5321, 487295844744.0436, 554350395923.5321, 554350395923.5321, 533818001543.9935, 554350395923.5321, 500915442255.6814, 597012185145.532, 500915442255.6814, 554350395923.5321, 554350395923.5321, 533818001543.9935, 533818001543.9935, 516256987734.6017, 601662758571.9274, 500915442255.6814, 533818001543.9935, 601662758571.9274, 487295844744.0436, 487295844744.0436, 554350395923.5321, 554350395923.5321, 554350395923.5321, 420447049894.284, 592429092437.9961]"
"['D->C', 'D->F', 'C->A', 'E->B', 'D->C', 'A->B', 'A->C', 'E->A', 'B->C', 'C->F', 'D->E', 'C->F', 'A->E', 'F->A', 'F->D', 'E->C', 'F->E', 'F->A', 'D->A', 'A->E', 'B->F', 'B->F', 'A->F', 'F->E', 'E->A', 'A->B', 'C->D', 'D->A', 'E->D', 'B->C', 'E->D', 'D->B', 'E->D', 'E->B', 'E->F', 'F->D', 'F->A', 'A->C', 'C->D', 'D->F', 'C->B', 'C->B', 'D->B', 'E->C', 'C->E', 'B->A', 'E->F', 'B->E', 'C->E', 'B->E', 'A->D', 'F->B', 'C->A', 'F->B', 'A->D', 'D->E', 'A->F', 'D->E', 'B->A', 'F->C', 'A->F', 'B->D', 'B->D']","[620608016593.3191, 554350395923.5321, 554350395923.5321, 554350395923.5321, 620608016593.3191, 500915442255.6814, 554350395923.5321, 533818001543.9935, 533818001543.9935, 583252673370.8372, 487295844744.0436, 583252673370.8372, 533818001543.9935, 463931581573.68854, 554350395923.5321, 652177412438.7471, 516256987734.6017, 463931581573.68854, 574814373634.4835, 533818001543.9935, 554350395923.5321, 554350395923.5321, 463931581573.68854, 516256987734.6017, 533818001543.9935, 500915442255.6814, 561395242431.8585, 574814373634.4835, 487295844744.0436, 533818001543.9935, 487295844744.0436, 601662758571.9274, 487295844744.0436, 554350395923.5321, 516256987734.6017, 554350395923.5321, 463931581573.68854, 554350395923.5321, 561395242431.8585, 554350395923.5321, 533818001543.9935, 533818001543.9935, 601662758571.9274, 652177412438.7471, 652177412438.7471, 500915442255.6814, 516256987734.6017, 554350395923.5321, 652177412438.7471, 554350395923.5321, 561182505522.422, 554350395923.5321, 554350395923.5321, 554350395923.5321, 576000054230.9487, 487295844744.0436, 463931581573.68854, 580864067191.3693, 500915442255.6814, 632314607341.7688, 463931581573.68854, 601662758571.9274, 601662758571.9274]"
"['C->E', 'B->F', 'C->A', 'C->A', 'D->F', 'A->B', 'A->D', 'D->F', 'B->F', 'E->B', 'E->A', 'B->A', 'B->D', 'E->D', 'E->D', 'F->A', 'B->A', 'A->E', 'D->E', 'B->C', 'F->D', 'A->F', 'F->D', 'E->B', 'C->D', 'A->D', 'C->F', 'E->A', 'A->E', 'A->B', 'F->B', 'B->D', 'C->E', 'D->B', 'F->C', 'F->B', 'D->B', 'C->F', 'D->C', 'B->C', 'E->C', 'C->D', 'F->A', 'F->E', 'D->E', 'F->A', 'A->F', 'D->C', 'E->C', 'A->C', 'F->C', 'D->E', 'A->C', 'C->B', 'A->F', 'C->B', 'E->D', 'B->E', 'E->F', 'E->F', 'D->A', 'F->E', 'B->E']","[652177412438.7471, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 500915442255.6814, 561182505522.422, 554350395923.5321, 554350395923.5321, 554350395923.5321, 533818001543.9935, 500915442255.6814, 601662758571.9274, 487295844744.0436, 487295844744.0436, 463931581573.68854, 500915442255.6814, 533818001543.9935, 487295844744.0436, 533818001543.9935, 554350395923.5321, 463931581573.68854, 554350395923.5321, 554350395923.5321, 561395242431.8585, 561182505522.422, 583252673370.8372, 533818001543.9935, 533818001543.9935, 500915442255.6814, 554350395923.5321, 601662758571.9274, 652177412438.7471, 601662758571.9274, 632314607341.7688, 554350395923.5321, 601662758571.9274, 583252673370.8372, 620608016593.3191, 533818001543.9935, 652177412438.7471, 561395242431.8585, 463931581573.68854, 516256987734.6017, 487295844744.0436, 463931581573.68854, 463931581573.68854, 620608016593.3191, 652177412438.7471, 554350395923.5321, 590708959455.6083, 487295844744.0436, 554350395923.5321, 533818001543.9935, 463931581573.68854, 533818001543.9935, 592429092437.9961, 554350395923.5321, 516256987734.6017, 516256987734.6017, 574814373634.4835, 516256987734.6017, 554350395923.5321]"
"['A->C', 'D->C', 'C->E', 'F->B', 'C->E', 'A->E', 'D->F', 'C->F', 'E->F', 'C->B', 'F->D', 'E->D', 'A->D', 'B->C', 'B->A', 'D->F', 'D->B', 'B->E', 'E->A', 'E->C', 'F->B', 'E->C', 'E->F', 'D->E', 'A->C', 'F->C', 'D->B', 'E->A', 'D->A', 'F->E', 'B->C', 'C->D', 'A->E', 'B->A', 'B->E', 'A->D', 'D->A', 'A->B', 'D->C', 'D->E', 'F->A', 'F->D', 'C->D', 'F->E', 'B->F', 'B->D', 'E->D', 'D->E', 'F->C', 'C->A', 'A->F', 'E->B', 'C->A', 'E->D', 'F->A', 'F->A', 'A->F', 'B->D', 'E->B', 'A->B', 'B->F', 'C->F', 'A->F']","[554350395923.5321, 620608016593.3191, 652177412438.7471, 554350395923.5321, 652177412438.7471, 533818001543.9935, 554350395923.5321, 583252673370.8372, 516256987734.6017, 533818001543.9935, 554350395923.5321, 487295844744.0436, 561182505522.422, 533818001543.9935, 500915442255.6814, 554350395923.5321, 601662758571.9274, 554350395923.5321, 533818001543.9935, 652177412438.7471, 554350395923.5321, 652177412438.7471, 516256987734.6017, 487295844744.0436, 554350395923.5321, 632314607341.7688, 601662758571.9274, 533818001543.9935, 574814373634.4835, 516256987734.6017, 533818001543.9935, 561395242431.8585, 533818001543.9935, 500915442255.6814, 554350395923.5321, 561182505522.422, 574814373634.4835, 500915442255.6814, 620608016593.3191, 487295844744.0436, 463931581573.68854, 554350395923.5321, 561395242431.8585, 516256987734.6017, 554350395923.5321, 601662758571.9274, 487295844744.0436, 580864067191.3693, 632314607341.7688, 554350395923.5321, 463931581573.68854, 554350395923.5321, 554350395923.5321, 592429092437.9961, 463931581573.68854, 463931581573.68854, 463931581573.68854, 601662758571.9274, 554350395923.5321, 500915442255.6814, 554350395923.5321, 583252673370.8372, 463931581573.68854]"
"['F->D', 'F->C', 'B->F', 'B->F', 'E->F', 'B->E', 'C->E', 'B->A', 'A->B', 'D->F', 'D->E', 'A->D', 'B->C', 'D->F', 'F->D', 'A->D', 'D->E', 'A->B', 'B->E', 'D->A', 'F->E', 'E->D', 'A->F', 'D->E', 'F->B', 'C->D', 'F->B', 'E->D', 'E->A', 'C->F', 'A->E', 'B->C', 'C->A', 'E->F', 'F->A', 'A->F', 'A->C', 'E->D', 'F->C', 'A->C', 'C->B', 'C->F', 'F->E', 'C->A', 'F->A', 'C->D', 'E->B', 'C->B', 'E->C', 'D->C', 'B->A', 'A->F', 'C->D', 'A->E', 'F->A', 'B->D', 'C->E', 'B->D', 'E->B', 'D->C', 'D->A', 'D->B', 'D->B', 'E->C']","[554350395923.5321, 632314607341.7688, 554350395923.5321, 554350395923.5321, 516256987734.6017, 554350395923.5321, 652177412438.7471, 500915442255.6814, 500915442255.6814, 554350395923.5321, 487295844744.0436, 561182505522.422, 533818001543.9935, 554350395923.5321, 554350395923.5321, 561182505522.422, 487295844744.0436, 500915442255.6814, 554350395923.5321, 574814373634.4835, 516256987734.6017, 487295844744.0436, 463931581573.68854, 487295844744.0436, 554350395923.5321, 561395242431.8585, 554350395923.5321, 487295844744.0436, 533818001543.9935, 583252673370.8372, 533818001543.9935, 533818001543.9935, 554350395923.5321, 516256987734.6017, 463931581573.68854, 463931581573.68854, 554350395923.5321, 487295844744.0436, 632314607341.7688, 554350395923.5321, 533818001543.9935, 583252673370.8372, 516256987734.6017, 554350395923.5321, 463931581573.68854, 416048408607.8608, 554350395923.5321, 533818001543.9935, 652177412438.7471, 620608016593.3191, 500915442255.6814, 463931581573.68854, 416048408607.8608, 533818001543.9935, 463931581573.68854, 601662758571.9274, 652177412438.7471, 435712439583.5589, 554350395923.5321, 420447049894.284, 574814373634.4835, 601662758571.9274, 601662758571.9274, 652177412438.7471]"
"['A->C', 'C->E', 'F->B', 'C->D', 'F->E', 'F->C', 'E->F', 'D->B', 'B->C', 'D->F', 'E->D', 'B->E', 'E->C', 'E->A', 'A->E', 'B->D', 'A->E', 'D->C', 'F->C', 'A->C', 'E->D', 'B->F', 'E->C', 'F->D', 'E->D', 'C->F', 'C->B', 'A->B', 'E->F', 'D->B', 'B->E', 'C->D', 'C->A', 'B->C', 'E->A', 'B->D', 'C->F', 'D->E', 'F->B', 'C->E', 'A->D', 'D->E', 'C->B', 'B->F', 'D->C', 'F->A', 'D->E', 'A->F', 'E->B', 'C->A', 'F->D', 'D->F', 'A->D', 'E->B', 'A->F', 'F->A', 'B->A', 'F->E', 'B->A', 'A->B', 'D->A', 'F->A', 'D->A']","[554350395923.5321, 652177412438.7471, 554350395923.5321, 561395242431.8585, 516256987734.6017, 632314607341.7688, 516256987734.6017, 601662758571.9274, 533818001543.9935, 554350395923.5321, 487295844744.0436, 554350395923.5321, 652177412438.7471, 533818001543.9935, 533818001543.9935, 601662758571.9274, 533818001543.9935, 620608016593.3191, 632314607341.7688, 554350395923.5321, 487295844744.0436, 554350395923.5321, 652177412438.7471, 554350395923.5321, 487295844744.0436, 583252673370.8372, 533818001543.9935, 500915442255.6814, 516256987734.6017, 601662758571.9274, 554350395923.5321, 561395242431.8585, 554350395923.5321, 533818001543.9935, 533818001543.9935, 601662758571.9274, 583252673370.8372, 487295844744.0436, 554350395923.5321, 652177412438.7471, 561182505522.422, 487295844744.0436, 533818001543.9935, 554350395923.5321, 620608016593.3191, 463931581573.68854, 487295844744.0436, 463931581573.68854, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 576000054230.9487, 554350395923.5321, 463931581573.68854, 463931581573.68854, 500915442255.6814, 516256987734.6017, 500915442255.6814, 500915442255.6814, 574814373634.4835, 463931581573.68854, 548806438632.5817]"
"['F->D', 'C->E', 'A->F', 'E->F', 'D->B', 'A->D', 'A->F', 'E->A', 'B->A', 'E->F', 'A->E', 'D->A', 'A->F', 'F->B', 'E->D', 'E->B', 'A->B', 'A->B', 'A->E', 'D->C', 'C->E', 'B->D', 'C->A', 'C->F', 'E->D', 'C->B', 'B->D', 'F->E', 'E->C', 'D->E', 'F->D', 'C->A', 'D->A', 'D->F', 'E->D', 'C->F', 'E->B', 'D->B', 'F->A', 'E->C', 'C->B', 'F->A', 'B->E', 'F->E', 'D->C', 'B->E', 'F->B', 'F->C', 'A->D', 'B->C', 'E->A', 'D->F', 'B->F', 'F->A', 'A->C', 'A->C', 'B->A', 'D->E', 'B->F', 'C->D', 'C->D', 'F->C', 'D->E']","[554350395923.5321, 652177412438.7471, 463931581573.68854, 516256987734.6017, 601662758571.9274, 561182505522.422, 463931581573.68854, 533818001543.9935, 500915442255.6814, 516256987734.6017, 533818001543.9935, 574814373634.4835, 463931581573.68854, 554350395923.5321, 487295844744.0436, 554350395923.5321, 500915442255.6814, 500915442255.6814, 533818001543.9935, 620608016593.3191, 652177412438.7471, 601662758571.9274, 554350395923.5321, 583252673370.8372, 487295844744.0436, 533818001543.9935, 601662758571.9274, 516256987734.6017, 652177412438.7471, 487295844744.0436, 554350395923.5321, 554350395923.5321, 574814373634.4835, 554350395923.5321, 487295844744.0436, 583252673370.8372, 554350395923.5321, 601662758571.9274, 463931581573.68854, 652177412438.7471, 533818001543.9935, 463931581573.68854, 554350395923.5321, 516256987734.6017, 620608016593.3191, 554350395923.5321, 554350395923.5321, 632314607341.7688, 561182505522.422, 533818001543.9935, 533818001543.9935, 554350395923.5321, 554350395923.5321, 463931581573.68854, 554350395923.5321, 554350395923.5321, 500915442255.6814, 487295844744.0436, 554350395923.5321, 561395242431.8585, 496524133222.7556, 632314607341.7688, 580864067191.3693]"
